User ID,Best Rating,Contests Participated,Problems Solved,Average Problem Rating,Best Rank,Average Rank best 50,Average Rank ,Current Job Status,Engagement (Contests per Month),Average Submissions per Day,Acceptance Ratio,solved_800_1100,solved_1200_1400,solved_1500_1800,solved_1900_2100,solved_2100_plus,greedy,math,implementation,constructive algorithms,brute force,dp,data structures,sortings,binary search,strings,number theory,dfs and similar,graphs,two pointers,trees,bitmasks,combinatorics,shortest paths,dsu,games,hashing,divide and conquer,interactive,geometry,*special,probabilities,flows,ternary search,string suffix structures,expression parsing,Other
Mercersfire,1393,159,710,1240.140845,995,3714.62,6531.6,1,3.294175197,1.019599339,0.524919094,470,155,79,2,0,316,247,273,155,124,58,62,119,56,89,52,29,24,44,13,23,15,12,10,15,3,3,4,18,2,3,2,2,1,0,5
umitsaha,1847,200,2620,1590.19084,130,920.08,2043.2,2,3.512752022,4.058504909,0.423010629,727,554,778,383,89,1076,907,784,533,529,489,403,382,335,248,256,239,219,190,156,151,105,75,77,56,49,44,41,38,28,20,22,15,12,11,34
mir003,1892,235,1809,1382.034273,259,636.54,2033.14,3,3.417370624,1.848022438,0.455196248,568,443,562,161,49,680,702,632,349,357,303,234,230,177,157,190,109,111,118,74,77,93,24,43,26,28,27,18,35,5,5,8,11,10,3,24
_c_k_r_,2009,361,2232,1484.274194,29,294.32,1895.26,3,4.579287907,2.147905704,0.409790694,737,401,533,305,165,860,757,714,445,403,352,330,285,232,219,190,146,145,142,106,108,91,44,55,46,43,42,32,39,7,27,14,14,21,2,27
emotionles,1886,237,990,1437.070707,31,232.18,919.82,3,2.230994092,0.833229992,0.355303811,275,221,284,114,49,262,226,443,136,168,150,107,112,92,73,66,67,76,34,45,24,30,18,23,18,11,11,2,19,5,6,3,2,3,2,12
Ertugrul28,2108,245,3012,1638.811421,47,532.52,2072.22,3,3.886839501,3.662481077,0.452650469,720,551,783,517,348,1143,1104,865,609,605,684,554,405,396,276,321,283,270,225,212,201,201,79,115,56,63,88,42,49,12,33,27,21,34,2,84
S_Neal,1869,214,2650,1292.603774,103,785.92,2266.36,2,3.404029692,3.535733377,0.39557459,1041,429,654,290,55,995,922,860,541,505,390,337,352,282,223,231,148,146,176,110,109,98,42,60,53,38,28,34,40,9,22,11,15,9,1,31
nazmulnns2066,1888,293,2569,1355.196575,157,696.12,2137.74,2,5.201119316,4.553558169,0.337147216,1077,367,659,341,69,1088,966,793,590,546,458,354,368,300,227,265,175,187,186,117,152,108,62,64,64,33,42,31,48,6,14,24,13,8,2,41
cryomancer148,1731,214,1946,1226.618705,84,1077.44,3331.64,2,3.742917352,2.558146085,0.454876937,757,428,604,53,8,943,787,556,505,426,282,257,301,224,185,188,109,110,146,79,123,87,26,52,65,26,14,24,41,1,10,7,13,5,1,21
monna4335,2010,314,4081,1666.650331,44,423.12,1135.12,3,5.367839972,6.328789175,0.428341096,1345,689,814,765,319,1611,1425,1303,865,797,734,611,552,478,392,375,294,294,282,201,238,199,80,112,89,63,62,66,72,45,27,20,28,15,11,63
Wolowitz,1842,176,2621,1457.726059,101,1073,1683.12,2,3.128270959,3.60993518,0.373502087,853,468,753,416,66,1071,915,780,562,504,530,408,368,312,224,227,253,240,194,162,154,116,79,91,64,38,32,26,42,5,20,15,18,10,2,37
aniks2645,1940,251,2265,1581.192053,54,420.32,1409.76,3,3.525429901,1.851461741,0.485138436,556,355,589,428,242,744,660,670,338,379,504,425,283,272,194,208,197,187,155,168,125,117,54,78,38,40,48,23,39,9,15,12,16,23,4,38
the0dd1out,1946,217,2824,1570.042493,54,533.26,1521.74,2,2.524312367,1.982173563,0.463170658,615,445,855,510,201,928,899,858,509,493,557,395,335,289,237,239,222,239,162,143,142,163,75,74,64,47,37,24,63,11,38,17,20,19,1,49
ndatta,1975,146,626,1466.453674,14,176.5,663.86,3,1.397146208,0.501807872,0.346,166,142,155,55,41,147,135,293,79,105,78,61,70,39,40,46,37,33,22,23,9,21,5,16,7,5,1,1,16,4,6,1,3,4,1,6
